   53654.140809    4573.3106     653.5616    4560.1765     653.5978    0.9123
   53656.129683    5172.2294     458.6548    5172.3777     458.6898    0.9826
   53657.129944    5313.0510     462.6065    5308.7385     462.6427    0.9646
   53661.132064    3143.0596     541.9597    2979.7464     542.2030    0.3931
   53661.176851      -0.0000         -nan       0.0000         -nan      -nan
   53662.141793    5685.8854     429.8717    5678.2888     429.9294    0.9689
   53664.162692    4764.5189     471.4575    4763.5754     471.4895    0.9647
   53664.853878    5545.0116     418.2302    5538.8720     418.2875    0.9756
   53664.967024    5151.6762     493.3554    5145.7207     493.4001    0.9681
   53665.135061    5027.7427     471.1137    5029.0004     471.1412    0.9737
   53665.832332    4395.0611     427.3391    4390.8384     427.3906    0.9318
   53666.825980    5003.6728     495.0760    4997.8222     495.1160    0.9584
   53666.968992    5001.2044     611.8445    4996.6523     611.8691    0.9561
   53667.854443    5168.4571     415.4153    5163.3069     415.4681    0.9638
   53667.980064    5281.6586     539.4978    5265.3513     539.5436    0.8944
   53671.322626    6339.2168     686.4265    6340.4343     686.4551    0.8045
   53675.011445    4656.6303     491.9554    4655.6682     491.9888    0.9598
   53676.972978    5382.9180     427.7584    5381.2708     427.8029    0.9684
   53677.976332    4617.2464     502.0225    4600.6162     502.0804    0.8829
   53678.976952    5651.1798     741.6411    5647.1431     741.6628    0.9457
   53679.964436    4531.9984     789.6863    4526.5326     789.7063    0.9069
   53680.167131    4352.4616     572.2109    4344.3697     572.2439    0.9087
   53680.861570    4986.2220     488.5726    4981.2089     488.6015    0.9396
   53680.963556    5046.4367     473.1746    5042.2599     473.2106    0.9561
   53681.844134    4945.2450     444.7344    4896.4760     444.8386    0.7985
   53682.878460    7130.3685     649.3038    6999.8143     649.4675    0.6925
   53684.000010    5015.4998     420.8199    5013.5665     420.8683    0.9577
   53684.971818    4981.2365     570.0453    4975.6513     570.0764    0.9656
   53694.980500    4631.8196     432.8681    4630.9363     432.9091    0.9621
   53695.970776    5497.7802     437.5448    5176.9902     438.0875    0.5358
   53698.978875    5260.6091     514.8741    5233.4973     514.9317    0.8621
   53706.843868    4339.4964     538.5799    4329.9148     538.6236    0.9512
   53706.976008    4660.1366     570.4503    4654.4330     570.4810    0.9581
   53707.875403    5922.7980     479.1302    5893.1085     479.1973    0.8736
   53707.967968    6024.3374     386.2051    5953.1897     386.3508    0.7870
   53708.826614    5573.6650     403.1470    5548.3652     403.2117    0.8902
   53712.842098    5634.2838     700.1243    5615.7001     700.1544    0.8439
